Stock,Avg V,Price,Call,Call time,Earnings Date,Earnings Time,Avg ch %,Sector,Industry
ST,"1,281,770",37.35,-,-,2023-07-25,Before Market Open,3.3,Technology,Scientific & Technical Instruments
STE,"383,180",229.90,-,-,2023-08-01,After Close,-,Healthcare,Medical Devices
STLD,"1,321,670",102.53,-,-,2023-07-19,After Close,-,Basic Materials,Steel
STR,"563,120",26.43,-,-,2023-08-08,After Close,-,Energy,Oil & Gas E&P
STT,"2,586,600",72.39,-,-,2023-07-14,Before Market Open,4.8,Financial,Asset Management
STWD,"2,615,690",20.99,-,-,2023-08-03,Before Market Open,2,Real Estate,REIT - Mortgage
STX,"2,596,790",64.25,-,-,2023-07-26,After Close,6,Technology,Computer Hardware
SU,"4,487,690",34.73,-,-,2023-08-14,After Close,2.3,Energy,Oil & Gas Integrated
SUPN,"471,580",29.28,-,-,2023-08-08,After Close,-,Healthcare,Drug Manufacturers - Specialty & Generic
SWK,"1,430,190",87.61,-,-,2023-08-01,Before Market Open,4.3,Industrials,Tools & Accessories
SWKS,"1,644,540",99.24,-,-,2023-08-07,After Close,7.3,Technology,Semiconductors
SWN,"19,769,640",6.66,-,-,2023-08-03,After Close,-,Energy,Oil & Gas E&P
SYF,"4,007,270",32.29,-,-,2023-07-18,Before Market Open,3.9,Financial,Credit Services
SYK,"1,263,990",295.00,-,-,2023-08-03,After Close,3,Healthcare,Medical Devices
SYT,"2,660",6.32,-,-,-,-,-,Technology,Software - Application
SYY,"2,421,770",71.07,-,-,2023-08-01,Before Market Open,3.7,Consumer Defensive,Food Distribution
T,"44,212,550",15.06,-,-,2023-07-26,Before Market Open,3.1,Communication Services,Telecom Services
TAP,"1,847,640",63.79,-,-,2023-08-01,Before Market Open,4.5,Consumer Defensive,Beverages - Brewers
TD,"2,257,600",62.12,-,-,2023-08-24,Before Market Open,-,Financial,Banks - Diversified
TDC,"1,087,480",44.87,-,-,2023-08-07,After Close,6.7,Technology,Software - Infrastructure
TDW,"898,970",68.69,-,-,2023-08-07,After Close,-,Energy,Oil & Gas Equipment & Services
TEAM,"1,510,630",209.40,-,-,2023-08-03,After Close,7.2,Technology,Software - Application
TEL,"1,459,780",129.19,-,-,2023-07-26,Before Market Open,3.2,Technology,Electronic Components
TER,"1,641,010",97.96,-,-,2023-07-26,After Close,6.6,Technology,Semiconductor Equipment & Materials
TEVA,"10,012,320",10.56,-,-,2023-08-02,Before Market Open,-,Healthcare,Drug Manufacturers - Specialty & Generic
TEX,"790,350",59.19,-,-,2023-08-01,After Close,-,Industrials,Farm & Heavy Construction Machinery
TGI,"1,245,820",8.73,-,-,2023-08-02,Before Market Open,9.9,Industrials,Aerospace & Defense
TGNA,"2,137,810",16.27,-,-,2023-08-03,Before Market Open,3.5,Communication Services,Broadcasting
TGT,"5,005,560",124.77,-,-,2023-08-16,Before Market Open,4.2,Consumer Defensive,Discount Stores
THC,"1,207,110",71.33,-,-,2023-07-31,After Close,-,Healthcare,Medical Care Facilities
THS,"364,320",47.82,-,-,2023-08-07,Before Market Open,-,Consumer Defensive,Packaged Foods
TJX,"4,762,710",93.59,-,-,2023-08-16,Before Market Open,2.9,Consumer Cyclical,Apparel Retail
TK,"597,550",5.86,-,-,2023-08-03,Before Market Open,-,Energy,Oil & Gas Midstream
TKR,"598,140",72.59,-,-,2023-08-03,Before Market Open,-,Industrials,Tools & Accessories
TMO,"1,490,670",515.64,-,-,2023-07-26,Before Market Open,3.2,Healthcare,Diagnostics & Research
TMST,"261,420",22.01,-,-,2023-08-03,After Close,10.4,Basic Materials,Steel
TMUS,"4,820,420",143.12,-,-,2023-07-27,After Close,3.9,Communication Services,Telecom Services
TOL,"1,710,000",80.72,-,-,2023-08-22,After Close,5.2,Consumer Cyclical,Residential Construction
TPH,"969,290",29.78,-,-,2023-07-27,Before Market Open,3.7,Consumer Cyclical,Residential Construction
TPX,"1,723,750",45.97,-,-,2023-08-03,Before Market Open,-,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TRGP,"1,496,960",85.74,-,-,2023-08-03,Before Market Open,3.9,Energy,Oil & Gas Midstream
TRI,"366,070",130.22,-,-,2023-08-02,Before Market Open,-,Industrials,Specialty Business Services
TRIP,"2,372,820",15.77,-,-,2023-08-02,After Close,8.6,Consumer Cyclical,Travel Services
TRMB,"1,165,460",51.69,-,-,2023-08-03,Before Market Open,6.4,Technology,Scientific & Technical Instruments
TRN,"332,980",24.35,-,-,2023-08-01,Before Market Open,5.7,Industrials,Railroads
TROW,"1,365,440",110.05,-,-,2023-07-28,Before Market Open,3.2,Financial,Asset Management
TRP,"2,920,480",37.46,-,-,2023-07-28,Before Market Open,1.2,Energy,Oil & Gas Midstream
TRUE,"223,310",2.44,-,-,2023-08-01,After Close,-,Communication Services,Internet Content & Information
TRV,"1,229,490",165.96,-,-,2023-07-20,Before Market Open,-,Financial,Insurance - Property & Casualty
TS,"1,894,130",32.89,-,-,2023-08-02,After Close,4.6,Energy,Oil & Gas Equipment & Services
TSCO,"1,251,040",215.93,-,-,2023-07-27,Before Market Open,4.9,Consumer Cyclical,Specialty Retail
TSLA,"124,426,810",276.04,-,-,2023-07-19,After Close,7.4,Consumer Cyclical,Auto Manufacturers
TSM,"8,873,740",91.47,-,-,2023-07-20,Before Market Open,2.9,Technology,Semiconductors
TSN,"2,997,990",53.96,-,-,2023-08-07,Before Market Open,4.8,Consumer Defensive,Farm Products
TTWO,"1,332,760",144.40,-,-,2023-08-08,After Close,6.6,Communication Services,Electronic Gaming & Multimedia
TV,"1,461,240",3.48,-,-,2023-07-25,After Close,-,Communication Services,Telecom Services
TXMD,"21,270",3.62,-,-,2023-08-14,Before Market Open,-,Healthcare,Drug Manufacturers - Specialty & Generic
TXN,"5,006,220",166.05,-,-,2023-07-25,After Close,3.7,Technology,Semiconductors
TXT,"1,156,850",76.18,-,-,2023-07-27,Before Market Open,5.7,Industrials,Aerospace & Defense
UA,"3,111,740",6.78,-,-,2023-08-08,Before Market Open,9.1,Consumer Cyclical,Apparel Manufacturing
UAL,"6,080,700",45.42,-,-,2023-07-19,After Close,6.3,Industrials,Airlines
UBS,"2,909,510",26.19,-,-,2023-08-31,Before Market Open,-,Financial,Banks - Diversified
UDR,"2,091,570",38.44,-,-,2023-07-26,After Close,1.6,Real Estate,REIT - Residential
UGI,"2,746,100",24.09,-,-,2023-08-02,After Close,-,Utilities,Utilities - Regulated Gas
UL,"1,850,880",50.66,-,-,2023-07-25,After Close,-,Consumer Defensive,Household & Personal Products
ULTA,"801,040",415.83,-,-,2023-08-24,After Close,-,Consumer Cyclical,Specialty Retail
UNFI,"642,540",18.48,-,-,2023-06-07,Before Market Open,9.9,Consumer Defensive,Food Distribution
UNH,"3,401,670",483.60,-,-,2023-07-14,Before Market Open,3.1,Healthcare,Healthcare Plans
UNM,"1,035,710",48.97,-,-,2023-08-01,After Close,4.2,Financial,Insurance - Life
UNP,"2,711,820",215.70,-,-,2023-07-26,Before Market Open,3.1,Industrials,Railroads
UPS,"3,625,820",160.73,-,-,2023-08-08,Before Market Open,3,Industrials,Integrated Freight & Logistics
URBN,"1,511,470",33.48,-,-,2023-08-22,After Close,-,Consumer Cyclical,Apparel Retail
URI,"723,340",453.32,-,-,2023-07-26,After Close,-,Industrials,Rental & Leasing Services
USB,"12,596,990",35.72,-,-,2023-07-19,Before Market Open,2.1,Financial,Banks - Regional
